timestamp,amount
1463508240000,88153.962462927
1463511600000,88134.318030503
1463515200000,88122.318846966
1463518800000,88134.945584021
1463522400000,88120.348192342
1463526000000,88090.097120888
1463529600000,88262.916273947
1463533200000,88334.923035901
1463536800000,88168.997376281
1463540400000,88124.306540259
1463544000000,88139.11815963
1463547600000,88136.353611398
1463551200000,88138.700539204
1463554800000,88158.920762579
1463558400000,88180.116123491
1463562000000,88178.380248054
1463565600000,88187.225986474
1463569200000,88176.976272321
1463572800000,88137.879388521
1463580240000,87993.920491975
1463583600000,88056.110514416
1463587200000,88030.75804762
1463590800000,87998.927533584
1463594400000,87920.803482893
1463598000000,87785.040778158
1463601600000,87743.277472808
1463605200000,87655.942900586
1463608800000,87612.436174702
1463612400000,87873.577545447
1463616000000,87935.69523182
1463619600000,88092.429744109
1463623200000,88178.701587139
1463626800000,88178.703399651
1463630400000,88189.706176764
1463634000000,88222.674665561
1463637600000,88250.553585384
1463641200000,88204.183639574
1463644800000,88193.705306463
1463648400000,88241.591830432
1463652000000,88380.777732995
1463655600000,88048.559139939
1463659200000,87990.618164258
1463662800000,86978.617594489
1463666400000,86792.912757354
1463670000000,86745.732243359
1463673600000,86822.932989309
1463677200000,86769.250735565
1463680800000,86674.286834543
1463684400000,86699.962748932
1463688000000,86404.555562258
1463691600000,86481.692453499
1463695200000,86882.666233315
1463698800000,87113.011933529
1463702400000,87637.187779974
1463706000000,87757.274742632
1463709600000,87786.472714927
1463713200000,87979.613455407
1463716800000,87995.098572381
1463720400000,87995.777068757
1463724000000,87770.811748028
1463727600000,87744.361368067
1463731200000,88007.58660333
1463734800000,88041.389286191
1463738400000,88038.672938482
1463742000000,87975.714187345
1463745600000,87934.98873233
1463749200000,87704.828465309
1463752800000,87524.645543604
1463756400000,87565.50788562
1463760000000,87472.50546981
1463763600000,87353.278671971
1463767200000,87000.399680552
1463770800000,86841.154757274
1463774400000,86569.975031921
1463778000000,86481.598090565
1463781600000,86294.96710626
1463785200000,85914.694451652
1463788800000,85860.354640333
1463792400000,85876.637682205
1463796000000,85936.69376577
1463799600000,85964.342955277
1463803200000,85998.81812672
1463806800000,86427.641856588
1463810400000,86778.793619302
1463814000000,86719.040881942
1463817600000,86688.905173114
1463821200000,86637.463580205
1463824800000,86592.34411463
1463828400000,86555.976605731
1463832000000,86586.256497237
1463835600000,86435.494867468
1463839200000,86381.242577324
1463842800000,86345.857894714
1463846400000,86298.321772606
1463850000000,86205.69078123
1463853600000,86221.298963314
1463857200000,86195.091756589
1463860800000,86221.143444009
1463864400000,86239.360148763
1463868000000,86182.4117074
1463871600000,86104.639992172
1463875200000,86002.72993738
1463878800000,86002.888353968
1463882400000,86100.411994887
1463886000000,86016.383439643
1463889600000,85848.891672084
1463893200000,85916.01227763
1463896800000,85959.664882407
1463900400000,85999.936254531
1463904000000,86021.665898451
1463907600000,86018.700561032
1463911200000,86011.651647499
1463914800000,86013.183179225
1463918400000,86026.784141775
1463922000000,86006.384495886
1463925600000,85972.455849943
1463929200000,86092.94476556
1463932800000,86039.469990155
1463936400000,86302.289057608
1463940000000,86633.174715384
1463943600000,86795.807736563
1463947200000,86691.439715468
1463950800000,86685.009110223
1463954400000,86667.699739586
1463958000000,86713.0633111
1463961600000,86739.999658708
1463965200000,86756.171504116
1463968800000,86818.242693501
1463972400000,86769.025290278
1463976000000,86552.468971587
1463979600000,86481.4710196
1463983200000,86519.157603069
1463986800000,86345.812424436
1463990400000,86306.781393194
1463994000000,86309.691572034
1463997600000,86268.801028522
1464001200000,86261.341935537
1464004800000,86167.799149956
1464008400000,85927.084906409
1464012000000,85870.622434283
1464015600000,85823.004354409
1464019200000,85769.20962368
1464022800000,85639.530676464
1464026400000,85669.619045726
1464030000000,85675.165182643
1464033600000,85551.779752348
1464037200000,85533.911169975
1464040800000,85502.746113193
1464044400000,85461.768630114
1464048000000,85313.289905174
1464051600000,85296.136210117
1464055200000,85362.484176563
1464058800000,85396.729381171
1464062400000,85416.706539096
1464066000000,85340.09154271
1464069600000,85312.869311406
1464073200000,85308.427754952
1464076800000,85331.266262426
1464080400000,85303.852762005
1464084000000,85256.86388527
1464087600000,85074.251299007
1464091200000,84815.697165763
1464094800000,84719.973125791
1464098400000,84824.006890597
1464102000000,84928.117002798
1464105600000,84976.543919177
1464109200000,84983.756185465
1464112800000,84933.967140724
1464116400000,84865.089180753
1464120000000,84901.583772716
1464123600000,84857.792580825
1464127200000,84855.236869853
1464130800000,84924.023473432
1464134400000,84925.842681829
1464138000000,84917.619671255
1464141600000,84726.46497474
1464145200000,84495.225017422
1464148800000,84622.408876063
1464152400000,84747.003039392
1464156000000,84712.763837375
1464159600000,84713.832347684
1464163200000,84790.048216041
1464166800000,84900.995905797
1464170400000,84935.017243848
1464174000000,84911.741367295
1464177600000,84956.057083948
1464181200000,84884.552909242
1464184800000,84524.272011258
1464188400000,84224.156024783
1464192000000,84211.898100287
1464195600000,84225.813779822
1464199200000,84253.842214858
1464202800000,84107.894810209
1464206400000,84042.21456461
1464210000000,84030.844109046
1464213600000,83881.505858175
1464217200000,83834.184350405
1464220800000,83841.134852525
1464224400000,83836.184113103
1464228000000,83773.821310266
1464231600000,83807.090503535
1464235200000,83817.288113814
1464238800000,83808.856033687
1464242400000,83836.38343624
1464246000000,83968.374231092
1464249600000,83988.395560844
1464253200000,84072.478905828
