timestamp,total,buy,sell,buyRatio,sellRatio
1513551600000,2337.6506,1718.82706,618.82355,0.735279712,0.264720292
1513548000000,1164.3191,639.4365,524.8826,0.549193516,0.450806484
1513544400000,2870.11138,1406.28411,1463.82728,0.489975448,0.510024555
1513540800000,3179.46537,1448.61314,1730.85223,0.455615323,0.544384677
1513537200000,1846.59851,552.5077,1294.09081,0.299202938,0.700797062
1513533600000,2162.57841,1012.23125,1150.34716,0.468066843,0.531933157
1513530000000,4457.98288,1649.75137,2808.23151,0.37006678,0.62993322
1513526400000,1901.36744,671.64939,1229.71805,0.353245446,0.646754554
1513522800000,1880.54927,451.80323,1428.74603,0.240250674,0.75974932
1513519200000,1673.86506,896.34681,777.51825,0.535495263,0.464504737
1513515600000,1433.20081,612.9699,820.23091,0.427692962,0.572307038
1513512000000,2074.08442,1435.27928,638.80514,0.692006201,0.307993799
1513508400000,2966.0735,1594.03205,1372.04145,0.537421628,0.462578372
1513504800000,2095.93083,1335.99498,759.93585,0.637423221,0.362576779
1513501200000,1335.19875,429.96801,905.23074,0.322025474,0.677974526
1513497600000,2464.47718,1514.41867,950.05851,0.614498962,0.385501038
1513494000000,825.02578,468.67223,356.35356,0.5680698,0.431930212
1513490400000,1559.95079,856.58868,703.36211,0.549112629,0.450887371
1513486800000,1444.69189,560.15403,884.53786,0.387732522,0.612267478
1513483200000,1135.68082,491.65695,644.02388,0.432918247,0.567081762
1513479600000,1234.39831,583.254,651.14431,0.472500647,0.527499353
1513476000000,1929.2172,694.91974,1234.29746,0.36020814,0.63979186
1513472400000,2443.1082,979.41457,1463.69363,0.400888741,0.599111259
1513468800000,2177.6402,982.74208,1194.89812,0.451287628,0.548712372
1513465200000,3128.34371,1753.60128,1374.74243,0.560552625,0.439447375
1513461600000,1602.40583,744.08566,858.32018,0.464355313,0.535644694
1513458000000,0,0,0,0,0
1513454400000,0,0,0,0,0
1513450800000,0,0,0,0,0
1513447200000,0,0,0,0,0
1513443600000,0,0,0,0,0
1513440000000,4778.06234,2667.54731,2110.51503,0.558290604,0.441709396
1513436400000,3091.54341,2125.1107,966.4327,0.687394747,0.31260525
1513432800000,3669.44022,2237.13754,1432.30268,0.609667253,0.390332747
1513429200000,1409.17851,825.84013,583.33838,0.586043659,0.413956341
1513425600000,1656.83734,1058.95015,597.88719,0.639139476,0.360860524
1513422000000,924.1464,461.06171,463.0847,0.498905487,0.501094524
1513418400000,976.024,601.06713,374.95687,0.615832326,0.384167674
1513414800000,1240.89404,472.62213,768.27191,0.38087227,0.61912773
1513411200000,1615.9867,1027.54358,588.44312,0.635861409,0.364138591
1513407600000,1305.76519,814.50889,491.2563,0.623778989,0.376221011
1513404000000,557.71503,289.77126,267.94378,0.519568676,0.480431341
1513400400000,831.00556,449.28778,381.71778,0.540655564,0.459344436
1513396800000,2531.54773,1158.62255,1372.92518,0.457673595,0.542326405
1513393200000,939.70517,409.09303,530.61215,0.435341896,0.564658115
1513389600000,972.0791,451.09966,520.97944,0.464056536,0.535943464
1513386000000,1061.24096,492.87061,568.37035,0.464428559,0.535571441
1513382400000,1354.89708,656.07371,698.82337,0.484224019,0.515775981
1513378800000,2373.44254,1062.79989,1310.64266,0.447788338,0.552211666
1513375200000,3153.83381,1003.06604,2150.76777,0.318046575,0.681953425
1513371600000,1318.69536,724.28592,594.40944,0.549244308,0.450755692
1513368000000,1284.37232,607.65547,676.71685,0.473114735,0.526885265
1513364400000,1544.72783,875.86146,668.86637,0.567000505,0.432999495
1513360800000,1133.06675,516.28428,616.78247,0.455652132,0.544347868
1513357200000,1500.40733,865.18851,635.21882,0.576635753,0.423364247
1513353600000,2363.98563,1109.84528,1254.14035,0.469480553,0.530519447
1513350000000,1617.19946,808.31506,808.8844,0.499823973,0.500176027
1513346400000,3153.95181,1286.46118,1867.49063,0.407888661,0.592111339
1513342800000,1946.39759,821.07901,1125.31858,0.421845472,0.578154528
1513339200000,1786.82352,874.45659,912.36693,0.489391694,0.510608306
1513335600000,5887.38068,3452.56191,2434.81877,0.58643429,0.41356571
1513332000000,3785.89998,2669.43694,1116.46304,0.7050997,0.2949003
1513328400000,1903.65592,1198.18022,705.4757,0.629410077,0.370589923
1513324800000,1538.52978,703.90678,834.623,0.457519113,0.542480887
1513321200000,1550.58748,594.34024,956.24725,0.383300038,0.616699968
1513317600000,1743.06825,991.89565,751.1726,0.569051527,0.430948473
1513314000000,2295.02349,1083.06551,1211.95798,0.471919139,0.528080861
1513310400000,4357.49335,1802.80182,2554.69153,0.413724514,0.586275486
1513306800000,6694.89394,4560.6177,2134.27624,0.681208357,0.318791643
1513303200000,4640.11288,2848.90961,1791.20327,0.613974204,0.386025796
1513299600000,4147.95315,2589.6206,1558.33255,0.624312886,0.375687114
1513296000000,1208.23762,366.44869,841.78893,0.303291905,0.696708095
1513292400000,974.06268,508.93617,465.12651,0.522488111,0.477511889
1513288800000,1372.03547,560.98142,811.05406,0.408868016,0.591131992
1513285200000,1256.46003,397.71215,858.74788,0.316533865,0.683466135
1513281600000,1503.1981,646.6451,856.553,0.430179562,0.569820438
1513278000000,1888.36998,745.41186,1142.95812,0.394738249,0.605261751
1513274400000,2215.34201,1002.34401,1212.998,0.45245565,0.54754435
1513270800000,1757.84199,480.39077,1277.45122,0.273284387,0.726715613
1513267200000,3348.89981,1432.63576,1916.26405,0.427792959,0.572207041
1513263600000,2416.70679,980.42888,1436.27791,0.405687973,0.594312027
1513260000000,1740.13633,728.94991,1011.18641,0.418903909,0.581096086
1513256400000,1527.27164,671.70259,855.56905,0.43980558,0.56019442
1513252800000,1365.03386,715.89645,649.13741,0.524453254,0.475546746
1513249200000,1535.91887,749.45083,786.46805,0.48794949,0.512050516
1513245600000,1503.61564,629.05496,874.56067,0.418361544,0.58163845
1513242000000,4033.8616,2248.98778,1784.87382,0.557527254,0.442472746
1513238400000,1786.59284,848.52342,938.06942,0.47493945,0.52506055
1513234800000,1682.4076,722.7046,959.703,0.429565701,0.570434299
1513231200000,2352.27418,920.26326,1432.01092,0.391222787,0.608777213
1513227600000,2844.80096,1501.58577,1343.21519,0.52783509,0.47216491
1513224000000,1451.47453,658.87019,792.60434,0.453931624,0.546068376
1513220400000,2953.04368,1250.39789,1702.64579,0.423426818,0.576573182
1513216800000,1449.21785,658.56581,790.65204,0.454428442,0.545571558
1513213200000,1546.74616,918.75391,627.99224,0.593991395,0.406008598
1513209600000,2608.212,904.26979,1703.9422,0.346701031,0.653298965
1513206000000,1936.91556,667.6746,1269.24097,0.344710226,0.655289779
1513202400000,2668.23222,1480.38965,1187.84258,0.554820393,0.44517961
1513198800000,2269.47528,687.38024,1582.09504,0.302880691,0.697119309
1513195200000,3374.56777,1574.3709,1800.19687,0.466540016,0.533459984
