timestamp,amount
1463508240000,-10779.51725447
1463511600000,-10731.609258898
1463515200000,-10721.321374032
1463518800000,-10713.398120371
1463522400000,-10721.421724792
1463526000000,-10766.698150169
1463529600000,-10787.31873735
1463533200000,-10677.63710727
1463536800000,-10386.057770474
1463540400000,-10367.773786302
1463544000000,-10288.63670862
1463547600000,-10264.43327995
1463551200000,-10264.142714635
1463554800000,-10263.73567995
1463558400000,-10263.74177995
1463562000000,-10263.84427995
1463565600000,-10248.725705348
1463569200000,-10115.15101203
1463572800000,-10038.743604652
1463576400000,-9805.1971394592
1463580000000,-9650.0125607132
1463583600000,-9572.5848880852
1463587200000,-9530.3984809095
1463590800000,-9531.4587108667
1463594400000,-9515.1539266158
1463598000000,-9494.768614015
1463601600000,-9504.8620204198
1463605200000,-9524.4880926692
1463608800000,-9522.430892745
1463612400000,-9464.0844421097
1463616000000,-9394.928754379
1463619600000,-9412.9935941802
1463623200000,-9419.7328682267
1463626800000,-9414.0643382267
1463630400000,-9414.04267156
1463634000000,-9415.7605557528
1463637600000,-9413.00493703
1463641200000,-9404.0232632982
1463644800000,-9394.3566944495
1463648400000,-10193.613101921
1463652000000,-10811.484976616
1463655600000,-10946.287509455
1463659200000,-11197.750579707
1463662800000,-11453.989074042
1463666400000,-11419.520350235
1463670000000,-11470.562902139
1463673600000,-11541.705967876
1463677200000,-11537.309412126
1463680800000,-11567.357382102
1463684400000,-11816.784875408
1463688000000,-12294.620731582
1463691600000,-12218.90079455
1463695200000,-12396.003749892
1463698800000,-12941.715378427
1463702400000,-13859.319947848
1463706000000,-13804.126643425
1463709600000,-13834.304514409
1463713200000,-13885.970285346
1463716800000,-13871.393064134
1463720400000,-13867.136610893
1463724000000,-13773.662754076
1463727600000,-13907.152714301
1463731200000,-14216.617808537
1463734800000,-14276.31633759
1463738400000,-14320.45319635
1463742000000,-14318.378659196
1463745600000,-14364.807622751
1463749200000,-14206.702158403
1463752800000,-14184.092550796
1463756400000,-14300.519865601
1463760000000,-14414.444777916
1463763600000,-14353.489046478
1463767200000,-14332.281477923
1463770800000,-14402.946507059
1463774400000,-14348.929233161
1463778000000,-14324.504586541
1463781600000,-14295.737447636
1463785200000,-14223.472537784
1463788800000,-14261.027665013
