,Pos_Change_Signal,acf_value,acf_pval,df_pval,Y_5,Y_10,Y_20
2018-02-08 10:57:00,-1,0.03932473,0.493342128,7.77553E-07,0.001664888,0.005751294,-0.053899707
2018-02-08 11:00:00,-1,0.111029596,0.172130694,2.91832E-07,0.003680517,0.007099493,0.725320069
2018-02-08 11:02:00,-1,-0.094350158,0.898296705,0.001229837,0.004079614,0.004185252,0.360865655
2018-02-08 11:03:00,-1,-0.096530787,0.578302327,2.10876E-09,0.006092136,0.002112601,0.51104254
2018-02-08 11:05:00,-1,-0.081243641,0.331402927,5.51338E-10,0.003406439,-0.005893514,0.415933776
2018-02-08 11:06:00,-1,-0.07992342,0.314592244,3.9993E-10,0.003146506,-0.007270189,0.84314661
2018-02-08 11:07:00,-1,-0.060059034,0.342020227,5.40803E-10,0.000105209,-0.012343463,0.340483403
2018-02-08 11:18:00,-1,0.069874956,0.790165685,1.688E-05,-0.001310346,-0.001709382,0.499370026
2018-02-08 11:19:00,-1,0.072264746,0.410541905,5.50976E-05,0.001020553,-0.002621588,0.343824542
2018-02-08 11:20:00,-1,0.055121822,0.459723046,2.04565E-05,-0.003063364,-0.002984897,0.301929832
2018-02-08 11:23:00,-1,0.05213366,0.683226172,1.91566E-05,-0.00039956,0.00839717,0.802108139
2018-02-08 11:25:00,-1,-0.004835268,0.639413533,1.41813E-05,7.87084E-05,0.010846148,0.42682653
2018-02-08 11:30:00,-1,0.126665411,0.582907565,6.12849E-07,0.010766593,0.012674335,0.676042937
2018-02-08 11:31:00,-1,0.130492408,0.562776657,5.06987E-09,0.009427468,0.011458193,0.715113812
2018-02-08 11:32:00,-1,0.138531732,0.655355866,3.53331E-06,0.002642784,0.003711143,0.754358563
2018-02-08 11:34:00,-1,0.154666878,0.584922695,0.000130179,0.002873823,0.004480793,0.842242393
2018-02-08 11:35:00,-1,0.150904464,0.625593482,0.000120052,0.001887421,0.004581513,0.544820025
2018-02-08 12:07:00,-1,-0.153697561,0.23616063,0.004333902,-0.00385211,-0.003970353,0.408959263
2018-02-08 12:10:00,-1,-0.15213039,0.292680245,0.001240046,0.001060369,-0.000828902,0.422583672
