,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 10:44:00,-1,0.072626711,-0.092430654,-1.615541239,-0.003812197,-0.006437055,-0.004072024,-0.004733525
2018-02-08 10:47:00,-1,0.087451512,0.201447898,-1.564775519,-0.001169232,-0.003458072,0.002273333,0.004161968
2018-02-08 10:49:00,-1,0.085650829,0.382771521,-1.385875143,-0.002634903,-0.004103,0.00244236,0.001672806
2018-02-08 10:50:00,-1,0.030000276,0.491167684,-1.225195836,-0.003819535,-0.004446154,0.002621773,0.002500768
2018-02-08 10:55:00,-1,0.058893223,0.573381513,-0.429915396,-0.000629022,0.00304918,-0.002862305,0.004992681
2018-02-08 10:57:00,-1,0.03932473,0.534237579,-0.267006261,0.001664888,0.005751294,-0.00666316,0.006196334
2018-02-08 11:00:00,-1,0.111029596,0.170341981,-0.619474144,0.003680517,0.007099493,-0.007055986,0.00560355
2018-02-08 11:02:00,-1,-0.094350158,0.085462802,-0.580656748,0.004079614,0.004185252,-0.009811904,0.001031648
2018-02-08 11:03:00,-1,-0.096530787,0.003045193,-0.731810818,0.006092136,0.002112601,-0.012572346,0.002970019
2018-02-08 11:05:00,-1,-0.081243641,-0.155017545,-1.157700756,0.003406439,-0.005893514,-0.013727726,0.000953395
2018-02-08 11:06:00,-1,-0.07992342,-0.085458416,-1.061966414,0.003146506,-0.007270189,-0.013677761,-0.001687875
2018-02-08 11:07:00,-1,-0.060059034,-0.101011883,-1.020740975,0.000105209,-0.012343463,-0.016582758,-0.005554528
2018-02-08 11:18:00,-1,0.069874956,-1.10730296,1.61437629,-0.001310346,-0.001709382,0.008448881,0.00547025
2018-02-08 11:19:00,-1,0.072264746,-1.056124209,0.965726883,0.001020553,-0.002621588,0.009124317,0.003953105
2018-02-08 11:20:00,-1,0.055121822,-0.933007325,0.335626998,-0.003063364,-0.002984897,0.009651606,0.002608379
2018-02-08 11:23:00,-1,0.05213366,-0.586273662,-0.719056588,-0.00039956,0.00839717,0.011234986,0.005782728
2018-02-08 11:25:00,-1,-0.004835268,-0.397921038,-1.098619544,7.87084E-05,0.010846148,0.015477353,0.004429837
2018-02-08 11:30:00,-1,0.126665411,0.02198012,-1.662542531,0.010766593,0.012674335,0.017169807,-0.000525605
2018-02-08 11:31:00,-1,0.130492408,0.10562301,-1.713842078,0.009427468,0.011458193,0.014170939,0.001612509
2018-02-08 11:32:00,-1,0.138531732,0.139372922,-1.703591413,0.002642784,0.003711143,0.005822871,-0.006241468
2018-02-08 11:34:00,-1,0.154666878,0.259780469,-1.541171127,0.002873823,0.004480793,0.00672431,-0.009460838
2018-02-08 11:35:00,-1,0.150904464,0.289936375,-1.487172833,0.001887421,0.004581513,0.004983166,-0.011146998
2018-02-08 12:07:00,-1,-0.153697561,-0.079429446,-0.9528058,-0.00385211,-0.003970353,-0.009627349,-0.01763676
